Timestamp,Category,Stream Title,Channel,Viewers,Tags
2025-02-22 17:34:44,Counter-Strike,MOUZ vs. Astralis - PGL Cluj-Napoca 2025 - Semifinals,PGL,56100,Esports
2025-02-22 17:34:44,Counter-Strike,🔴ASTRALIS vs MOUZ | CLUJ NAPOCA SEMI FINAL🔴,ohnePixel,27800,English
2025-02-22 17:34:44,Counter-Strike,SEMIFINAIS PGL Cluj-Napoca 2025 - !socio - Siga @Gaules nas redes sociais!,Gaules,15200,English
2025-02-22 17:34:44,Counter-Strike,[RU] MOUZ [1:0] Astralis | PGL Cluj-Napoca 2025 Playoffs | Day 1 /w @WorldEdit @mager1337,bySL4M,14300,Português
2025-02-22 17:34:44,Counter-Strike,🔴(БЕЗ ЗАДЕРЖКИ) MOUZ [1] vs [0] Astralis | PGL Cluj-Napoca 2025 w/ @des0ut,StRoGo,9400,Русский
2025-02-22 17:34:44,Counter-Strike,[NO DELAY] MOUZ 0:0 Astralis PGL Cluj-Napoca 2025 Playoffs | !winline !tg !lis,Dmitry_Lixxx,9400,Киберспорт
2025-02-22 17:34:44,Counter-Strike,смотрим astralis против mouz !tg !fonbet,AhriNyan,7600,SL4M
2025-02-22 17:34:44,Counter-Strike,ВЕЛИЧАЙШЕЕ ОТКРЫТИЕ КЕЙСОВ после тик тока=) | !pari !tg,rostikfacekid,7200,Русский
2025-02-22 17:34:44,Counter-Strike,[БЕЗ ЗАДЕРЖКИ] Liquid vs Chimera | DreamLeague S25 GS | !winline !tg !мерч !комп,just_ns,6300,Русский
2025-02-22 17:34:44,Counter-Strike,"[RU] OFFCAST | MOUZ [1:0] Astralis | PGL Cluj-Napoca 2025: Playoffs | BO3 | @jay_tb, @Solaar_06, @Roma_roo & @nastyamulla",cs2_paragon_ru,5100,Русский
2025-02-22 17:34:44,Counter-Strike,[AL/ENG] BAD NEWS EAGLES | PGL Bucharest 2025 Europe Open Qualifier !HELLCASE !SPINARIUM,xhocii,4900,English
2025-02-22 17:34:44,Counter-Strike,MOUZ vs Astralis | PGL Cluj-Napoca | Dzień 7 | reklama | !logitechg !rapidktl,IzakOOO,4500,Русский
2025-02-22 17:34:44,Counter-Strike,🔥 PGL Cluj-Napoca 2025 Semi-Finals ✅ Mouz vs Astralis ✅ ❄️ LIVE @ Winter Assembly ❄️🎙️ @oonraimo & @sLowiNd 🔥,pelaajatcom,3200,Русский
2025-02-22 17:34:44,Counter-Strike,PGL Cluj-Napoca 2025 - Semifinals 🥗 road to 1 million followers,fl0m,2800,Esports
2025-02-22 17:34:44,Counter-Strike,[UA] MOUZ vs Astralis (1:0) BO3 | PGL Cluj-Napoca 2025 - Playoffs | by @olsior & @leniniw,cs2_maincast,2600,Киберспорт
2025-02-22 17:34:44,Counter-Strike,Astralis vs MOUZ | PGL Cluj-Napoca | СТРИМ MANSION | @anastaze | @pokanoname,fANDERCS,2400,Русский
2025-02-22 17:34:44,Counter-Strike,⭐️ КАСТИМ PGL | MOUZ vs. ASTRALIS w/ @anastaze @fandercs @seizedwf ЯКУБОВИЧ, + 2 ,2400,Kosova
2025-02-22 17:34:44,Counter-Strike,🔥 MANSION КАСТ PGL W/ @fandercs @pokanoname @seizedwf ЯКУБОВИЧ 🔥MOUZ vs. ASTRALIS 🔥!TG !ФРИБЕТ15К,pokanoname,2400,English
2025-02-22 17:34:44,Counter-Strike,"ЕСЛИ НЕ АПНУ 10 ДО КОНЦА МЕСЯЦА, -ПК", + 2 ,2200,Hellcase
2025-02-22 17:34:44,Counter-Strike,PGL Cluj-Napoca 2025 - Playoffs | com o @officialfoxcn | @ OG SunFlower House,anastaze,2100,Polski
2025-02-22 17:34:44,Counter-Strike,MOUZ vs Astralis - PGL Cluj-Napoca 2025 - Demi-finale !WINAMAX, + 2 ,2000,Assembly
2025-02-22 17:34:44,Counter-Strike,🔴 CANLI: MOUZ - 1 🆚 0 - ASTRALIS | Bo3 | PGL CLUJ NAPOCA 2025 YARI FİNAL | !ef sosyal: @rootthegamer | #yüzdeyüzgaming #ad,zibert1715_,1800,Suomi
2025-02-22 17:34:44,Counter-Strike,👾 Gamescom LAN mit Team SCHWEINEAIM - CS2 Turnier (3-0) - Tag 2 👾 | !premier !socials,Move_Mind,1800,Pro
2025-02-22 17:34:44,Counter-Strike,👾 Gamescom LAN mit Team SCHWEINEAIM - Tag 2 👾 !schweineaim Control Pads wieder auf Lager, with Officialfoxcn ,1800,BEARD
2025-02-22 17:34:44,Counter-Strike,🔴 Gamescom LAN mit Team SCHWEINEAIM - CS2 Turnier (3-0) - Tag 2🔴,KRL_STREAM,1800,FAT
2025-02-22 17:34:44,Counter-Strike,ENCE Academy vs. JANO | Elisa Open Suomi 8 FINAALI | Assembly Winter,rootthegamer,1700,NotFat
2025-02-22 17:34:44,Counter-Strike,PREM w/ @lattykksad @lavieoubourse | !tg !betboom,Segalson,1600,cs
2025-02-22 17:34:44,Counter-Strike,[ESP] MOUZ vs. Astralis | Semifinales | PGL Cluj-Napoca 2025 | !fantasy !pgl !partidos | Más en @pituherranz, + 2 ,1600,UA
2025-02-22 17:34:44,Counter-Strike,CYBERSHOKE vs B8 🔹 Quarter-final 🏆 CCT Europe S2 – Online Series #18,TrilluXe,1200,Українська
