Timestamp,Category,Stream Title,Channel,Viewers,Tags
2025-02-22 17:31:43,Just Chatting,🦇BATMAN ARKHAM SERIES MARATHON🦇*ARKHAM ASYLUM*,KaiCenat,59100,AMP
2025-02-22 17:31:43,Just Chatting,🔴 3 МАДАГАСКАР | НАЧАЛО: 18:20 👉 !тг !hh !2026,shadowkekw,27200,ADHD
2025-02-22 17:31:43,Just Chatting,🤯 GEILER Stream mit Geilen Männers @Papaplatte 🥰,rewinside,21600,gaming
2025-02-22 17:31:43,Just Chatting,🤯 GEILE MÄNNER MACHEN GEILE SACHEN 🤯, with Papaplatte ,21600,English
2025-02-22 17:31:43,Just Chatting,фильм косплей l !Winline !ЯО !tg,Papaplatte,18900,English
2025-02-22 17:31:43,Just Chatting,༼ ºل͟º༼ ºل͟º( ͡° ͜ʖ ͡°)ºل͟º ༽ºل͟º ༽ (мемы офф) | Тг: t.me/t2xtwitch, with rewinside ,16000,2024NEWYEARS
2025-02-22 17:31:43,Just Chatting,КОНЕЦ СКУЛБОЯ + ПОКУПАЮ НОВУЮ МАШИНУ,deepins02,14100,Русский
2025-02-22 17:31:43,Just Chatting,🏆 20.000€ GAMESCOM LAN TURNIER 🏆 POWERED BY INTEL 🏆 | NASCHITHON TAG 16 🏆!intel !giveaway !leaderboard #werbung,T2x2,12400,twıtch
2025-02-22 17:31:43,Just Chatting,ВЕСТА ГРАНТА НА ОБКАТКЕ РАВШАН,EDISON,12200,ADHD
2025-02-22 17:31:43,Just Chatting,🔴PRZYGOTOWANIA NA ZŁOTE ANTOSIE Z DZIEWCZYNAMI🔴!YT,MckyTV,10700,ADHDStreamer
2025-02-22 17:31:43,Just Chatting,IRL | Готовим что-то вкусненькое w/ @maryymme, + 2 ,8900,Deutsch
2025-02-22 17:31:43,Just Chatting,IRL STREAM 🧏🏻‍♂️ @ ASSEMBLY GAMING-CON + MINIGOLF AND MORE LATER 🦆🦆🦆,steel,8200,wer
2025-02-22 17:31:43,Just Chatting,Let's Talk About It.,MaaiLinh,7900,dumm
2025-02-22 17:31:43,Just Chatting,Самый крупный АНОНС по ФПИ Банку. СЕГОДНЯ,ZLOYn,6200,german
