category,viewers,streamer_count,avg_viewers_per_streamer
Just Chatting,306000,27.0,11333.333333333334
League of Legends,171000,30.0,5700.0
Dota 2,149000,30.0,4966.666666666667
VALORANT,134000,30.0,4466.666666666667
Counter-Strike,116000,29.0,4000.0
Grand Theft Auto V,73800,29.0,2544.8275862068967
Teamfight Tactics,61100,29.0,2106.896551724138
Fortnite,58900,30.0,1963.3333333333333
IRL,49100,29.0,1693.103448275862
Overwatch 2,46500,30.0,1550.0
Minecraft,44400,29.0,1531.0344827586207
World of Warcraft,41800,30.0,1393.3333333333333
Marvel Rivals,37600,30.0,1253.3333333333333
Kings League,36200,0.0,0.0
I'm Only Sleeping,32900,0.0,0.0
Apex Legends,27800,30.0,926.6666666666666
Call of Duty: Warzone,24800,0.0,0.0
Path of Exile,24000,30.0,800.0
Hearthstone,23000,29.0,793.1034482758621
Like a Dragon: Pirate Yakuza in Hawaii,20600,0.0,0.0
Dead by Daylight,20100,30.0,670.0
EA Sports FC 25,18900,28.0,675.0
Kingdom Come: Deliverance II,18000,0.0,0.0
Rust,17400,30.0,580.0
Clubhouse Games: 51 Worldwide Classics,17200,0.0,0.0
Escape from Tarkov,17200,30.0,573.3333333333334
Street Fighter 6,16000,30.0,533.3333333333334
Sports,15000,0.0,0.0
ELDEN RING,14900,29.0,513.7931034482758
DayZ,13400,29.0,462.0689655172414
