id_x,timestamp_x,category,stream_title,channel,viewers_x,tags_x,id_y,timestamp_y,viewers_y,tags_y,image_url
1,2025-02-24 15:22:17,Just Chatting,"ÖSTERREICH OLYMPIA mit PapaP, Aditoro & Paul Frege",rewinside,27800,Deutsch,1,2025-02-24 15:15:55,306000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509658-285x380.jpg
2,2025-02-24 15:22:17,Just Chatting,"DIE GROSSE WINTEROLYMPIADE mit Papaplatte, Paul, Rewi & Fibi", + 4 ,27700,ADHD,1,2025-02-24 15:15:55,306000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509658-285x380.jpg
3,2025-02-24 15:22:17,Just Chatting,🛑ТЮНИМ СПОРТИВНУЮ МАШИНУ / @steel !тг !winline,aditotoro,13200,ADHDStreamer,1,2025-02-24 15:15:55,306000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509658-285x380.jpg
4,2025-02-24 15:22:17,Just Chatting,In Atlanta with @agent00 @tpain - becoming drift kings, + 4 ,10500,Deutsch,1,2025-02-24 15:15:55,306000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509658-285x380.jpg
28,2025-02-24 15:22:26,League of Legends,🔴LOS RATONES BOOTCAMP @REKKLES @LOL_NEMESIS @VELJA_LOL @CROWNSH0T @THEBAUSFFS 🔴 !dpmlol !discord !youtube !displate,Caedrel,25400,LEC,2,2025-02-24 15:15:55,171000,"RPG, Strategy, MOBA",https://static-cdn.jtvnw.net/ttv-boxart/21779-285x380.jpg
29,2025-02-24 15:22:26,League of Legends,BOTCAMP IN LONDON - Maroon Freaking Monday,Thebausffs,20100,English,2,2025-02-24 15:15:55,171000,"RPG, Strategy, MOBA",https://static-cdn.jtvnw.net/ttv-boxart/21779-285x380.jpg
30,2025-02-24 15:22:26,League of Legends,スト６対戦会▶２４時LOL,叶ちゃんねる (kanae_2434),12500,LPL,2,2025-02-24 15:15:55,171000,"RPG, Strategy, MOBA",https://static-cdn.jtvnw.net/ttv-boxart/21779-285x380.jpg
58,2025-02-24 15:22:34,Dota 2,Team Spirit [1:0] Team Falcons | DreamLeague S25: Group Stage | BO3 | @artem1daaa & @Crystalmaytv,dota2_paragon_ru,31000,Русский,3,2025-02-24 15:15:55,149000,"Strategy, MOBA, Action",https://static-cdn.jtvnw.net/ttv-boxart/29595-285x380.jpg
59,2025-02-24 15:22:34,Dota 2,[NO DELAY]Team Spirit [1:0] Team Falcons | DreamLeague S25: Group Stage | BO3 | @afoninje @vtunedota spoiler=ban,ramzes,23600,Киберспорт,3,2025-02-24 15:15:55,149000,"Strategy, MOBA, Action",https://static-cdn.jtvnw.net/ttv-boxart/29595-285x380.jpg
60,2025-02-24 15:22:34,Dota 2,LIVE: Team Spirit vs. Team Falcons - DreamLeague Season 25,ESL_DOTA2,23000,Esports,3,2025-02-24 15:15:55,149000,"Strategy, MOBA, Action",https://static-cdn.jtvnw.net/ttv-boxart/29595-285x380.jpg
61,2025-02-24 15:22:34,Dota 2,[БЕЗ ЗАДЕРЖКИ] Spirit vs Falcons | DreamLeague S25 GS | !winline !tg !мерч !комп,just_ns,13900,поворот,3,2025-02-24 15:15:55,149000,"Strategy, MOBA, Action",https://static-cdn.jtvnw.net/ttv-boxart/29595-285x380.jpg
88,2025-02-24 15:22:42,VALORANT,ﾌﾙﾊﾟVALO,加藤純一うん〇ちゃん (kato_junichi0817),31300,日本語,4,2025-02-24 15:15:55,134000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/516575-285x380.jpg
89,2025-02-24 15:22:42,VALORANT,VALOガチ修行,はんじょう (hanjoudesu),11600,日本語,4,2025-02-24 15:15:55,134000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/516575-285x380.jpg
176,2025-02-24 15:23:08,Teamfight Tactics,レッツゴー！しか知らなくてもTFTできんの？,k4sen,22200,聞いてないアドバイス禁止,7,2025-02-24 15:15:56,61100,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/513143-285x380.jpg
235,2025-02-24 15:23:24,IRL,🤯 COZY ÖSTERREICH STREAM MIT DEN JUNGS + WINTEROLYMPIADE 🤯,Papaplatte,27400,german,9,2025-02-24 15:15:56,49100,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509672-285x380.jpg
236,2025-02-24 15:23:24,IRL,"Winterolympiade mit Kevin, Rewi, Adi und Fibi", + 4 ,27400,guckt,9,2025-02-24 15:15:56,49100,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509672-285x380.jpg
