Timestamp,Category,Viewers,Tags,Image_URL
2025-02-24 19:49:40,Just Chatting,707000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509658-285x380.jpg
2025-02-24 19:49:41,League of Legends,519000,"RPG, Strategy, MOBA",https://static-cdn.jtvnw.net/ttv-boxart/21779-285x380.jpg
2025-02-24 19:49:41,Grand Theft Auto V,166000,"FPS, Shooter",https://static-cdn.jtvnw.net/ttv-boxart/32982_IGDB-285x380.jpg
2025-02-24 19:49:41,Kings League,164000,No Tags,https://static-cdn.jtvnw.net/ttv-boxart/1863222988-285x380.jpg
2025-02-24 19:49:41,Fortnite,156000,"Shooter, RPG, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/33214-285x380.jpg
2025-02-24 19:49:41,Counter-Strike,114000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/32399-285x380.jpg
2025-02-24 19:49:41,Dota 2,103000,"Strategy, MOBA, Action",https://static-cdn.jtvnw.net/ttv-boxart/29595-285x380.jpg
2025-02-24 19:49:41,World of Warcraft,74800,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/18122-285x380.jpg
2025-02-24 19:49:41,Marvel Rivals,67500,"Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/1264310518_IGDB-285x380.jpg
2025-02-24 19:49:41,Minecraft,66500,"Simulation, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/27471_IGDB-285x380.jpg
2025-02-24 19:49:42,VALORANT,64900,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/516575-285x380.jpg
2025-02-24 19:49:42,Batman: Arkham Origins,59200,"Action, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/368936_IGDB-285x380.jpg
2025-02-24 19:49:42,Lonely Mountains: Snow Riders,47500,Driving/Racing Game,https://static-cdn.jtvnw.net/ttv-boxart/2109314477_IGDB-285x380.jpg
2025-02-24 19:49:42,EA Sports FC 25,41700,"Simulation, Sports Game",https://static-cdn.jtvnw.net/ttv-boxart/2011938005_IGDB-285x380.jpg
2025-02-24 19:49:42,Kingdom Come: Deliverance II,40200,"RPG, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/344035090_IGDB-285x380.jpg
2025-02-24 19:49:42,Call of Duty: Warzone,40300,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/512710-285x380.jpg
2025-02-24 19:49:42,Dead by Daylight,34800,"Strategy, Action, Horror",https://static-cdn.jtvnw.net/ttv-boxart/491487-285x380.jpg
2025-02-24 19:49:43,IRL,33000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509672-285x380.jpg
2025-02-24 19:49:43,Path of Exile,31600,"RPG, Action",https://static-cdn.jtvnw.net/ttv-boxart/29307_IGDB-285x380.jpg
2025-02-24 19:49:43,Overwatch 2,30400,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/515025-285x380.jpg
2025-02-24 19:49:43,World of Tanks,30000,"FPS, Shooter, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/27546-285x380.jpg
2025-02-24 19:49:43,ELDEN RING,28700,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/512953_IGDB-285x380.jpg
2025-02-24 19:49:43,Teamfight Tactics,25300,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/513143-285x380.jpg
2025-02-24 19:49:43,PUBG: BATTLEGROUNDS,25000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/493057-285x380.jpg
2025-02-24 19:49:43,Apex Legends,24900,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/511224-285x380.jpg
2025-02-24 19:49:44,Rust,24100,"FPS, Shooter, RPG",https://static-cdn.jtvnw.net/ttv-boxart/263490_IGDB-285x380.jpg
2025-02-24 19:49:44,DJs,18500,"IRL, Creative",https://static-cdn.jtvnw.net/ttv-boxart/1669431183-285x380.jpg
2025-02-24 19:49:44,Hearthstone,18500,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/138585-285x380.jpg
2025-02-24 19:49:44,Slots,17300,"Gambling Game, Gambling",https://static-cdn.jtvnw.net/ttv-boxart/498566-285x380.jpg
2025-02-24 19:49:44,Anime Squad,16900,"FPS, Shooter, Indie Game",https://static-cdn.jtvnw.net/ttv-boxart/1398657661_IGDB-285x380.jpg
