Timestamp,Category,Stream Title,Channel,Tags,Total Followers,Followers Goal,Subs Goal,Current Subscribers
2025-02-23 17:36:44,Just Chatting,"Streiten, Zocken, Zweifeln: Der harte Weg ins Kanzleramt | WDR Doku", + 2 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 17:47:10,Just Chatting,"Streiten, Zocken, Zweifeln: Der harte Weg ins Kanzleramt | WDR Doku", + 2 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 17:48:00,Just Chatting,"Streiten, Zocken, Zweifeln: Der harte Weg ins Kanzleramt | WDR Doku", + 2 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 17:48:50,Just Chatting,"Streiten, Zocken, Zweifeln: Der harte Weg ins Kanzleramt | WDR Doku", + 2 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 18:29:57,Just Chatting,"Streiten, Zocken, Zweifeln: Der harte Weg ins Kanzleramt | WDR Doku", + 2 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 18:30:56,Just Chatting,"Streiten, Zocken, Zweifeln: Der harte Weg ins Kanzleramt | WDR Doku", + 2 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 18:31:50,Just Chatting,"Streiten, Zocken, Zweifeln: Der harte Weg ins Kanzleramt | WDR Doku", + 2 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 19:54:21,Just Chatting,"Streiten, Zocken, Zweifeln: Der harte Weg ins Kanzleramt | WDR Doku", + 2 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 19:55:17,Just Chatting,"Streiten, Zocken, Zweifeln: Der harte Weg ins Kanzleramt | WDR Doku", + 2 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 19:56:15,Just Chatting,"Streiten, Zocken, Zweifeln: Der harte Weg ins Kanzleramt | WDR Doku", + 2 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 21:01:51,Just Chatting,"Streiten, Zocken, Zweifeln: Der harte Weg ins Kanzleramt | WDR Doku", + 2 ,No Tags,Unknown,No Goal,No Goal,Unknown
